batting_average,batting_strike_rate,ducks,fifties,highest_score,hundreds,innings_batted,last_played_year,matches_played,not_outs,player,playing_span,runs,start_year,team_name
0.0,0.0,0,0,,0,0,2008,6,0,P Amarnath,,0,2008,Chennai Super Kings
0.0,0.0,0,0,,0,0,2023,6,0,Akash Singh,,0,2023,Chennai Super Kings
23.69,136.26,4,3,93,0,40,2024,48,4,MM Ali,,853,2021,Chennai Super Kings
19.0,123.14,2,1,64,0,12,2013,19,5,S Anirudha,,133,2008,Chennai Super Kings
0.0,60.0,0,0,3,0,1,2010,1,1,KB Arun Karthik,,3,2010,Chennai Super Kings
9.5,94.05,3,0,23,0,31,2015,97,11,R Ashwin,,190,2009,Chennai Super Kings
0.0,0.0,0,0,,0,0,2021,3,0,KM Asif,,0,2018,Chennai Super Kings
0.0,0.0,0,0,,0,0,2014,4,0,S Badree,,0,2014,Chennai Super Kings
30.65,118.89,6,11,71,0,67,2013,95,20,S Badrinath,,1441,2008,Chennai Super Kings
21.0,95.45,0,0,30,0,3,2010,4,0,GJ Bailey,,63,2009,Chennai Super Kings
3.66,64.7,3,0,15,0,8,2010,29,2,L Balaji,,22,2008,Chennai Super Kings
12.0,131.7,2,1,56,0,9,2019,11,0,SW Billings,,108,2018,Chennai Super Kings
21.0,91.3,0,0,16,0,4,2012,27,3,DE Bollinger,,21,2010,Chennai Super Kings
25.1,137.15,4,2,68,0,75,2022,116,35,DJ Bravo,,1004,2011,Chennai Super Kings
11.0,124.52,3,0,39,0,12,2024,76,6,DL Chahar,,66,2018,Chennai Super Kings
0.0,0.0,0,0,,0,0,2020,7,0,PP Chawla,,0,2020,Chennai Super Kings
48.63,141.28,2,9,92,0,22,2023,23,3,DP Conway,,924,2022,Chennai Super Kings
22.0,142.35,2,1,52,0,15,2021,23,4,SM Curran,,242,2020,Chennai Super Kings
0.0,0.0,0,0,0,0,2,2024,31,2,TU Deshpande,,0,2022,Chennai Super Kings
40.25,139.28,6,22,84,0,202,2024,234,86,MS Dhoni,,4669,2008,Chennai Super Kings
34.46,159.16,3,8,95,0,39,2024,41,7,S Dube,,1103,2022,Chennai Super Kings
35.33,131.44,5,20,96,0,86,2021,92,9,F du Plessis,,2721,2012,Chennai Super Kings
21.77,118.78,1,0,45,0,10,2008,10,1,SP Fleming,,196,2008,Chennai Super Kings
31.0,116.98,0,0,24,0,3,2009,3,1,A Flintoff,,62,2009,Chennai Super Kings
41.75,136.86,6,18,108,2,65,2024,66,8,RD Gaikwad,,2380,2020,Chennai Super Kings
8.66,96.29,1,0,20,0,3,2017,3,0,MA Agarwal,,26,2017,Rising Pune Supergiants
0.0,0.0,0,0,0,0,1,2010,1,1,C Ganapathy,,0,2010,Chennai Super Kings
28.0,155.55,0,0,25,0,2,2017,4,1,Ankit Sharma,,28,2016,Rising Pune Supergiants
0.0,0.0,1,0,0,0,1,2016,10,0,M Ashwin,,0,2016,Rising Pune Supergiants
41.5,153.7,1,1,58,0,4,2024,4,2,Arshad Khan,,83,2024,Lucknow Super Giants
0.0,100.0,0,0,2,0,1,2024,2,1,RJ Gleeson,,2,2024,Chennai Super Kings
12.5,138.88,0,0,15,0,9,2010,26,5,MS Gony,,50,2008,Chennai Super Kings
20.5,107.89,1,0,29,0,6,2016,14,4,R Ashwin,,41,2016,Rising Pune Supergiants
21.0,85.71,1,0,34,0,5,2016,6,1,GJ Bailey,,84,2016,Rising Pune Supergiants
22.0,157.14,0,0,12,0,5,2023,22,4,Avesh Khan,,22,2022,Lucknow Super Giants
0.0,0.0,0,0,,0,0,2023,2,0,RS Hangargekar,,0,2023,Chennai Super Kings
7.5,76.92,0,0,19,0,4,2019,24,0,Harbhajan Singh,,30,2018,Chennai Super Kings
25.0,135.13,0,0,21,0,8,2017,13,6,R Bhatia,,50,2016,Rising Pune Supergiants
0.0,0.0,0,0,,0,0,2016,2,0,SM Boland,,0,2016,Rising Pune Supergiants
24.38,134.03,2,4,59,0,35,2024,42,9,A Badoni,,634,2022,Lucknow Super Giants
7.0,140.0,0,0,7,0,1,2022,1,0,SA Abbott,,7,2022,Sunrisers Hyderabad
0.0,0.0,0,0,,0,0,2014,1,0,JW Hastings,,0,2014,Chennai Super Kings
36.9,137.51,1,8,93,0,32,2010,32,2,ML Hayden,,1107,2008,Chennai Super Kings
14.0,233.33,0,0,14,0,1,2017,5,0,DL Chahar,,14,2016,Rising Pune Supergiants
0.0,150.0,0,0,3,0,1,2017,3,1,RD Chahar,,3,2017,Rising Pune Supergiants
10.75,153.57,2,0,17,0,8,2022,12,4,PVD Chameera,,43,2022,Lucknow Super Giants
31.06,143.24,1,7,140,1,30,2024,30,1,Q de Kock,,901,2022,Lucknow Super Giants
19.23,146.07,3,0,37,0,40,2024,50,10,Abdul Samad,,577,2020,Sunrisers Hyderabad
24.79,153.86,2,7,75,0,58,2024,60,5,Abhishek Sharma,,1314,2019,Sunrisers Hyderabad
0.0,0.0,0,0,,0,0,2021,12,0,JR Hazlewood,,0,2020,Chennai Super Kings
0.0,0.0,0,0,0,0,1,2014,17,1,BW Hilfenhaus,,0,2012,Chennai Super Kings
15.8,161.22,0,0,17,0,9,2017,13,4,DT Christian,,79,2017,Rising Pune Supergiants
12.2,160.52,1,0,23,0,8,2024,12,3,K Gowtham,,61,2022,Lucknow Super Giants
0.0,0.0,0,0,,0,0,2024,4,0,MJ Henry,,0,2024,Lucknow Super Giants
23.85,125.09,0,1,83,0,14,2024,14,0,MA Agarwal,,334,2023,Sunrisers Hyderabad
0.33,20.0,2,0,1,0,3,2021,24,0,KK Ahmed,,1,2018,Sunrisers Hyderabad
0.0,0.0,0,0,,0,0,2013,6,0,JO Holder,,0,2013,Chennai Super Kings
58.0,123.4,0,1,50,0,4,2014,5,2,DJ Hussey,,116,2014,Chennai Super Kings
31.88,124.78,0,2,64,0,27,2017,30,9,MS Dhoni,,574,2016,Rising Pune Supergiants
