balls,best_innings_bowled,best_innings_bowled_runs,best_innings_bowled_wickets,bowling_average,bowling_stike_rate,catches_taken,economy_rate,innings_bowled,last_played_year,maidens_earned,matches_played,player,playing_span,runs_conceded,start_year,team_name,wickets
12,,,,0.0,,0,11.0,1,2011,0,1,B Akhil,,22,2011,Kochi Tuskers Kerala,0
6,,,,0.0,,2,7.0,1,2011,0,2,Y Gnaneswara Rao,,7,2011,Kochi Tuskers Kerala,0
90,,14,2,24.8,18.0,1,8.26,8,2011,1,11,RV Gomez,,124,2011,Kochi Tuskers Kerala,5
66,,13,4,11.0,9.4,1,7.0,4,2011,0,14,BJ Hodge,,77,2011,Kochi Tuskers Kerala,7
252,,25,2,38.12,31.5,1,7.26,14,2011,0,14,RA Jadeja,,305,2011,Kochi Tuskers Kerala,8
0,,,,0.0,,2,,0,2011,0,6,KM Jadhav,,0,2011,Kochi Tuskers Kerala,0
0,,,,0.0,,6,,0,2011,0,13,DPMD Jayawardene,,0,2011,Kochi Tuskers Kerala,0
132,,29,2,33.71,18.8,2,10.72,6,2008,0,6,P Amarnath,,236,2008,Chennai Super Kings,7
0,,,,0.0,,0,,0,2011,0,4,M Klinger,,0,2011,Kochi Tuskers Kerala,0
0,,,,0.0,,0,,0,2011,0,3,VVS Laxman,,0,2011,Kochi Tuskers Kerala,0
114,,40,2,37.6,22.8,1,9.89,6,2023,0,6,Akash Singh,,188,2023,Chennai Super Kings,5
499,,26,4,23.4,19.9,18,7.03,35,2024,0,48,MM Ali,,585,2021,Chennai Super Kings,25
0,,,,0.0,,2,,0,2011,0,13,BB McCullum,,0,2011,Kochi Tuskers Kerala,0
114,,18,1,70.5,57.0,1,7.42,5,2011,0,5,M Muralidaran,,141,2011,Kochi Tuskers Kerala,2
0,,,,0.0,,11,,0,2013,0,19,S Anirudha,,0,2008,Chennai Super Kings,0
61,,45,1,114.0,61.0,1,11.21,4,2024,0,4,Arshad Khan,,114,2024,Lucknow Super Giants,1
94,,20,2,34.25,23.5,0,8.74,5,2011,0,5,P Parameswaran,,137,2011,Kochi Tuskers Kerala,4
0,,,,0.0,,8,,0,2011,0,14,PA Patel,,0,2011,Kochi Tuskers Kerala,0
0,,,,0.0,,0,,0,2010,0,1,KB Arun Karthik,,0,2010,Chennai Super Kings,0
2026,,16,3,24.22,22.5,20,6.45,94,2015,4,97,R Ashwin,,2180,2009,Chennai Super Kings,90
460,,24,4,26.88,17.6,4,9.11,22,2023,1,22,Avesh Khan,,699,2022,Lucknow Super Giants,26
25,,5,1,18.0,12.5,14,8.64,5,2024,0,42,A Badoni,,36,2022,Lucknow Super Giants,2
84,,30,1,55.5,42.0,0,7.92,4,2011,0,4,NLTC Perera,,111,2011,Kochi Tuskers Kerala,2
49,,43,2,23.25,12.2,0,11.38,3,2021,0,3,KM Asif,,93,2018,Chennai Super Kings,4
84,,19,1,48.5,42.0,0,6.92,4,2014,0,4,S Badree,,97,2014,Chennai Super Kings,2
264,,17,2,42.66,29.3,2,8.72,12,2022,0,12,PVD Chameera,,384,2022,Lucknow Super Giants,9
0,,,,0.0,,17,,0,2024,0,30,Q de Kock,,0,2022,Lucknow Super Giants,0
72,,20,1,56.0,36.0,0,9.33,5,2011,0,5,RR Powar,,112,2011,Kochi Tuskers Kerala,2
6,,,,0.0,,0,18.0,1,2011,0,1,P Prasanth,,18,2011,Kochi Tuskers Kerala,0
0,,,,0.0,,16,,0,2013,0,95,S Badrinath,,0,2008,Chennai Super Kings,0
