Ground,Match_Date,Result_Margin,Season,Team_1,Team_2,Winner,result_margin_type,result_margin_value
Chennai,"May 26, 2024",8 wickets,2024,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,wickets,8
Chennai,"May 24, 2024",36 runs,2024,Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,36
Ahmedabad,"May 22, 2024",4 wickets,2024,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,wickets,4
Ahmedabad,"May 21, 2024",8 wickets,2024,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata Knight Riders,wickets,8
Hyderabad,"May 19, 2024",4 wickets,2024,Sunrisers Hyderabad,Punjab Kings,Sunrisers Hyderabad,wickets,4
Bengaluru,"May 18, 2024",27 runs,2024,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,runs,27
Wankhede,"May 17, 2024",18 runs,2024,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,runs,18
Guwahati,"May 15, 2024",5 wickets,2024,Rajasthan Royals,Punjab Kings,Punjab Kings,wickets,5
Delhi,"May 14, 2024",19 runs,2024,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,runs,19
Bengaluru,"May 12, 2024",47 runs,2024,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,runs,47
Chennai,"May 12, 2024",5 wickets,2024,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,wickets,5
Eden Gardens,"May 11, 2024",18 runs,2024,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,runs,18
Ahmedabad,"May 10, 2024",35 runs,2024,Gujarat Titans,Chennai Super Kings,Gujarat Titans,runs,35
Dharamsala,"May 9, 2024",60 runs,2024,Punjab Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,60
Hyderabad,"May 8, 2024",10 wickets,2024,Sunrisers Hyderabad,Lucknow Super Giants,Sunrisers Hyderabad,wickets,10
Delhi,"May 7, 2024",20 runs,2024,Delhi Capitals,Rajasthan Royals,Delhi Capitals,runs,20
Wankhede,"May 6, 2024",7 wickets,2024,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,wickets,7
Lucknow,"May 5, 2024",98 runs,2024,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,runs,98
Dharamsala,"May 5, 2024",28 runs,2024,Punjab Kings,Chennai Super Kings,Chennai Super Kings,runs,28
Bengaluru,"May 4, 2024",4 wickets,2024,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,wickets,4
Wankhede,"May 3, 2024",24 runs,2024,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,runs,24
Hyderabad,"May 2, 2024",1 run,2024,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,run,1
Chennai,"May 1, 2024",7 wickets,2024,Chennai Super Kings,Punjab Kings,Punjab Kings,wickets,7
Lucknow,"Apr 30, 2024",4 wickets,2024,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,wickets,4
Eden Gardens,"Apr 29, 2024",7 wickets,2024,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,wickets,7
Chennai,"Apr 28, 2024",78 runs,2024,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,runs,78
Ahmedabad,"Apr 28, 2024",9 wickets,2024,Gujarat Titans,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,9
Lucknow,"Apr 27, 2024",7 wickets,2024,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,wickets,7
Delhi,"Apr 27, 2024",10 runs,2024,Delhi Capitals,Mumbai Indians,Delhi Capitals,runs,10
Eden Gardens,"Apr 26, 2024",8 wickets,2024,Kolkata Knight Riders,Punjab Kings,Punjab Kings,wickets,8
Hyderabad,"Apr 25, 2024",35 runs,2024,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,runs,35
Delhi,"Apr 24, 2024",4 runs,2024,Delhi Capitals,Gujarat Titans,Delhi Capitals,runs,4
Chennai,"Apr 23, 2024",6 wickets,2024,Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,wickets,6
Jaipur,"Apr 22, 2024",9 wickets,2024,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,wickets,9
Mullanpur,"Apr 21, 2024",3 wickets,2024,Punjab Kings,Gujarat Titans,Gujarat Titans,wickets,3
Eden Gardens,"Apr 21, 2024",1 run,2024,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,run,1
Delhi,"Apr 20, 2024",67 runs,2024,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,67
Lucknow,"Apr 19, 2024",8 wickets,2024,Lucknow Super Giants,Chennai Super Kings,Lucknow Super Giants,wickets,8
Mullanpur,"Apr 18, 2024",9 runs,2024,Punjab Kings,Mumbai Indians,Mumbai Indians,runs,9
Ahmedabad,"Apr 17, 2024",6 wickets,2024,Gujarat Titans,Delhi Capitals,Delhi Capitals,wickets,6
Eden Gardens,"Apr 16, 2024",2 wickets,2024,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,wickets,2
Bengaluru,"Apr 15, 2024",25 runs,2024,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,25
Wankhede,"Apr 14, 2024",20 runs,2024,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,runs,20
Eden Gardens,"Apr 14, 2024",8 wickets,2024,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,wickets,8
Mullanpur,"Apr 13, 2024",3 wickets,2024,Punjab Kings,Rajasthan Royals,Rajasthan Royals,wickets,3
Lucknow,"Apr 12, 2024",6 wickets,2024,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,wickets,6
Wankhede,"Apr 11, 2024",7 wickets,2024,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,wickets,7
Jaipur,"Apr 10, 2024",3 wickets,2024,Rajasthan Royals,Gujarat Titans,Gujarat Titans,wickets,3
Mullanpur,"Apr 9, 2024",2 runs,2024,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,runs,2
Chennai,"Apr 8, 2024",7 wickets,2024,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,wickets,7
Lucknow,"Apr 7, 2024",33 runs,2024,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,runs,33
Wankhede,"Apr 7, 2024",29 runs,2024,Mumbai Indians,Delhi Capitals,Mumbai Indians,runs,29
Jaipur,"Apr 6, 2024",6 wickets,2024,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,wickets,6
